Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.17977,0.18639999999999998,0.05904999999999999,0.19012999999999997,0.2979599999999999,0.02232,0.00432,2.1528599999999996,0.01636,0.09283
cardio,1831,21,9.6122,0.26296,0.13033,0.45334,0.00489,0.28288,0.07125000000000001,0.041960000000000004,0.8220000000000001,0.14431,0.004579999999999999
glass,214,9,4.2056,0.026239999999999996,0.04775,0.029849999999999998,0.0020000000000000005,0.21958000000000003,0.005339999999999999,0.00217,0.03555,0.0022700000000000003,0.0010000000000000002
ionosphere,351,33,35.8974,0.047119999999999995,0.05090999999999999,0.0371,0.0071,0.23378000000000002,0.00823,0.00263,0.12761,0.00531,0.0016099999999999999
letter,1600,32,6.25,0.23552,0.10583000000000001,0.35731,0.007180000000000001,0.29475,0.062439999999999996,0.03333,2.21934,0.10041,0.00794
lympho,148,18,4.0541,0.02215,0.11037000000000001,0.0367,0.004050000000000001,0.24442,0.00396,0.00165,0.08549,0.00184,0.00132
