Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.38076000000000004,0.45385,0.42297,0.51108,0.49992000000000003,0.44636999999999993,0.4334300000000001,0.39952,0.4614,0.46129
cardio,1831,21,9.6122,0.23742999999999997,0.42966,0.16899999999999998,0.44761000000000006,0.49185999999999996,0.33227,0.15409,0.4399,0.50112,0.609
glass,214,9,4.2056,0.17023,0.07261999999999999,0.14762,0.0,0.07261999999999999,0.07261999999999999,0.14762,0.0,0.17262,0.07261999999999999
ionosphere,351,33,35.8974,0.84415,0.7748900000000001,0.7055800000000001,0.32951,0.6474300000000001,0.86021,0.7063400000000001,0.8806499999999999,0.7000499999999998,0.5728599999999999
letter,1600,32,6.25,0.38009,0.23969000000000001,0.36418999999999996,0.07152,0.08828,0.33117,0.36411,0.19327,0.15096,0.08746999999999999
lympho,148,18,4.0541,0.44833999999999996,0.75167,0.75167,0.8466699999999999,0.8766700000000001,0.75167,0.75167,0.51833,0.75167,0.75167
